Raman Shift,"2044_D_siarczyn_sodu_5,5mM_9s_1acc_30%_3","2044_D_siarczyn_sodu_5,5mM_9s_1acc_30%_4","2044_G_siarczyn_sodu_5,5mM_9s_1acc_30%","2044_G_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2044_G_siarczyn_sodu_5,5mM_9s_1acc_30%_3","2045_D_siarczyn_sodu_5,5mM_9s_1acc_30%","2045_D_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2045_D_siarczyn_sodu_5,5mM_9s_1acc_30%_3","2045_G_siarczyn_sodu_5,5mM_9s_1acc_30%","2045_G_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2041_D_siarczyn_sodu_5,5mM_9s_1acc_30%","2041_D_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2041_G_siarczyn_sodu_5,5mM_9s_1acc_30%","2041_G_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2044_D_siarczyn_sodu_5,5mM_9s_1acc_30%_2"
570.19,22499.0,18180.0,18977.0,21121.0,17325.0,19351.0,19237.0,22051.0,20640.0,22411.0,10681.0,13662.0,18473.0,15240.0,19551.0
572.4,22808.0,18014.0,18700.0,20836.0,17293.0,19011.0,18720.0,22130.0,20213.0,22261.0,10485.0,13572.0,18539.0,15195.0,19059.0
574.62,22366.0,17993.0,18641.0,20995.0,17363.0,19197.0,18394.0,21551.0,20415.0,21861.0,10343.0,13632.0,18480.0,15310.0,19221.0
576.83,21985.0,17949.0,18437.0,20931.0,17107.0,19057.0,18178.0,21707.0,20519.0,21830.0,10503.0,13482.0,18135.0,15210.0,19069.0
579.04,22121.0,18293.0,18359.0,20532.0,17095.0,19004.0,18295.0,21245.0,20362.0,21605.0,10521.0,13654.0,18290.0,15511.0,19176.0
581.26,22812.0,18288.0,18581.0,20787.0,17094.0,18915.0,18799.0,21610.0,19996.0,21545.0,10536.0,13739.0,18578.0,15479.0,19196.0
583.47,22360.0,17979.0,18043.0,20687.0,17071.0,18848.0,18280.0,21005.0,19721.0,21241.0,10503.0,13434.0,18456.0,14885.0,18885.0
585.68,22249.0,17927.0,18193.0,20298.0,17000.0,19170.0,18186.0,21194.0,19690.0,21051.0,10619.0,13437.0,18161.0,15312.0,18714.0
587.89,22138.0,18037.0,18009.0,20213.0,17131.0,18951.0,18220.0,20968.0,19576.0,20941.0,10666.0,13555.0,18125.0,15611.0,18759.0
590.09,22522.0,17753.0,18221.0,20480.0,16773.0,18852.0,18124.0,20832.0,19598.0,20969.0,10560.0,13261.0,17718.0,15274.0,18720.0
592.3,22408.0,17741.0,18039.0,20423.0,16835.0,18671.0,18014.0,21001.0,19341.0,21001.0,10619.0,13072.0,18209.0,14971.0,18871.0
594.51,22952.0,17863.0,18263.0,20275.0,16649.0,19044.0,17869.0,20869.0,19981.0,20657.0,10353.0,13669.0,18417.0,15721.0,18807.0
596.71,22434.0,17796.0,18082.0,20042.0,16934.0,18253.0,17748.0,20492.0,19290.0,20474.0,10345.0,12975.0,18234.0,15577.0,18622.0
598.92,22729.0,18008.0,18632.0,20698.0,17314.0,18678.0,18091.0,21051.0,19371.0,21164.0,10456.0,13162.0,17996.0,15528.0,19074.0
